County,population_primary_2012,population_general_2012,population_midterm_2014,population_primary_2016,population_general_2016,population_midterm_2018,population_primary_2020,population_general_2020,registration_primary_2012,registration_general_2012,registration_midterm_2014,registration_primary_2016,registration_general_2016,registration_midterm_2018,registration_primary_2020,registration_general_2020,registration_midterm_2022,turnout_primary_2012,turnout_general_2012,turnout_midterm_2014,turnout_primary_2016,turnout_general_2016,turnout_midterm_2018,turnout_primary_2020,turnout_general_2020,turnout_midterm_2022,TOrate_primary_2012,TOrate_general_2012,TOrate_midterm_2014,TOrate_primary_2016,TOrate_general_2016,TOrate_midterm_2018,TOrate_primary_2020,TOrate_general_2020,TOrate_midterm_2022,,,growth_r_g_2012_2016,growth_r_g_2012_2020,growth_r_g_2016_2020,growth_r_p_2012_2016,growth_r_p_2012_2020,growth_r_p_2016_2020,growth_r_m_2014_2018,growth_r_m_2014_2022,growth_r_m_2018_2022,growth_t_g_2012_2016,growth_t_g_2012_2020,growth_t_g_2016_2020,growth_t_p_2012_2016,growth_t_p_2012_2020,growth_t_p_2016_2020,growth_t_m_2014_2018,growth_t_m_2014_2022,growth_t_m_2018_2022
Cass,30464,30464,30464,30464,30464,30464,30464,30464,18090,18361,19307,19322,20041,20050,20229,20868,21145,3762,11748,6964,6608,12518,10391,5656,14002,9996,0.207960199,0.639834432,0.360698192,0.341993582,0.62461953,,,,,,,9.149828441,13.65394042,4.126540592,6.810392482,11.82421227,4.694131042,3.84834516,9.519863262,5.461346633,6.554307116,19.18624447,11.8549289,75.65124934,50.34556087,-14.40677966,49.21022401,43.53819644,-3.801366567
Castro,8062,8062,8062,8062,8062,8062,8062,8062,3884,3924,3965,3891,3959,3814,3808,3848,3636,891,2167,1198,1206,2035,1666,869,2097,1512,0.229402678,0.55224261,0.302143758,0.309946029,0.514018692,,,,,,,0.891946993,-1.936799185,-2.803738318,0.180226571,-1.956745623,-2.133127731,-3.808322825,-8.297604035,-4.667016256,-6.091370558,-3.230272266,3.046683047,35.35353535,-2.469135802,-27.94361526,39.06510851,26.21035058,-9.243697479
Chambers,35096,35096,35096,35096,35096,35096,35096,35096,23435,23752,25108,25900,26920,27969,29317,30630,33153,5514,14729,8504,8080,16923,15247,9129,21643,15750,0.235289098,0.620116201,0.33869683,0.311969112,0.628640416,,,,,,,13.33782418,28.95756147,13.78157504,10.5184553,25.09921058,13.19305019,11.39477457,32.04158037,18.53480639,14.89578383,46.94140811,27.89103587,46.53608995,65.56039173,12.98267327,79.29209784,85.20696143,3.299009641
Cherokee,50845,50845,50845,50845,50845,50845,50845,50845,26356,26520,26960,26773,27785,27778,27967,29080,30046,6290,16241,9754,10054,16790,15132,9512,19510,14523,0.238655335,0.612405732,0.361795252,0.375527584,0.604282886,,,,,,,4.769984917,9.653092006,4.660788195,1.582182425,6.112460161,4.459716879,3.034124629,11.44658754,8.164734682,3.380333723,20.12807093,16.20011912,59.84101749,51.22416534,-5.390889198,55.13635432,48.89276194,-4.024583664
Childress,7041,7041,7041,7041,7041,7041,7041,7041,3472,3505,3572,3547,3563,3532,3563,3648,3675,696,1996,1100,1059,2084,1771,1395,2290,1760,0.200460829,0.569472183,0.307950728,0.298562165,0.584900365,,,,,,,1.654778887,4.079885877,2.385630087,2.160138249,2.620967742,0.451085424,-1.119820829,2.883538634,4.048697622,4.408817635,14.72945892,9.884836852,52.15517241,100.4310345,31.72804533,61,60,-0.621118012
Clay,10752,10752,10752,10752,10752,10752,10752,10752,7582,7661,7608,7452,7656,7620,7692,7931,8057,2131,5094,2858,3114,5051,4295,3221,5770,4497,0.281060406,0.66492625,0.375657203,0.417874396,0.659743992,,,,,,,-0.065265631,3.52434408,3.591954023,-1.71458718,1.450804537,3.220611916,0.157728707,5.90168244,5.734908136,-0.844130349,13.27051433,14.23480499,46.12857813,51.14969498,3.436095055,50.27991603,57.34779566,4.70314319
Cochran,3127,3127,3127,3127,3127,3127,3127,3127,1795,1780,1775,1735,1777,1740,1755,1768,1739,654,917,495,757,907,690,463,1000,618,0.364345404,0.515168539,0.278873239,0.436311239,0.510410805,,,,,,,-0.168539326,-0.674157303,-0.506471581,-3.342618384,-2.228412256,1.152737752,-1.971830986,-2.028169014,-0.057471264,-1.090512541,9.051254089,10.25358324,15.74923547,-29.20489297,-38.83751651,39.39393939,24.84848485,-10.43478261
Coke,3320,3320,3320,3320,3320,3320,3320,3320,2312,2308,2134,2120,2192,2275,2296,2409,2263,589,1411,787,906,1457,1370,951,1779,1391,0.254757785,0.61135182,0.368791003,0.427358491,0.664689781,,,,,,,-5.025996534,4.376083189,9.899635036,-8.30449827,-0.692041522,8.301886792,6.607310216,6.044985942,-0.527472527,3.26009922,26.08079376,22.1002059,53.82003396,61.46010187,4.966887417,74.07878018,76.74714104,1.532846715
Coleman,8895,8895,8895,8895,8895,8895,8895,8895,5988,5952,5901,5804,5942,5863,5814,5949,5982,800,3492,2240,2450,3643,3135,2519,4156,3242,0.133600534,0.586693548,0.379596679,0.422122674,0.613093235,,,,,,,-0.168010753,-0.050403226,0.117805453,-3.072812291,-2.905811623,0.172294969,-0.643958651,1.372648704,2.029677639,4.32416953,19.01489118,14.08180071,206.25,214.875,2.816326531,39.95535714,44.73214286,3.41307815
Collin,782341,782341,782341,782341,782341,782341,782341,782341,429866,439449,486377,507061,538395,577888,605756,649456,695711,53929,303568,178057,157075,364432,355975,154159,494259,366168,0.125455374,0.690792333,0.366088446,0.309775352,0.676885929,,,,,,,22.51592335,47.78870813,20.62816334,17.95792177,40.91740217,19.46412759,18.81482883,43.03945293,20.3885528,20.04954409,62.81656828,35.62447864,191.262586,185.8554766,-1.856438007,99.92193511,105.6465065,2.863403329
